Address,Price,Sold Date,Agent Phone
"1522 LIPSCOMB DR, Brentwood (086), TN","$89,000",2025-12-02,N/A
"1218 PARKER PL, Brentwood (086), TN","$30,000",2025-12-02,N/A
"123 SNAPDRAGON CT, Franklin (263967), TN",N/A,2025-11-12,N/A
"609 MER ROUGE DR, Nolensville (535), TN","$119,000",2025-12-08,N/A
"1606 N MARTHA CT, Brentwood (086), TN","$413,000",2025-12-02,N/A
"3133 WINBERRY DR, Franklin (263967), TN","$1,268,000",2025-10-07,N/A
"2143 SPRING HILL CIR, Spring Hill (701), TN","$119,000",2025-12-08,N/A
"2048 NATHANIEL RD, Franklin (263967), TN","$2,391,000",2025-11-14,N/A
"8208 JOLENE DR, Unincorporated (000), TN","$616,000",2025-10-23,N/A
"2024 POPLAR FARMS DR, Franklin (263967), TN","$111,000",2025-11-14,N/A
"6005 VENABLE CT, Fairview (255), TN","$147,000",2025-12-01,N/A
